term,ccode,section,enrolled
1139,ACTSC 3XX,001,1
1139,ACTSC 221,001,98
1139,ACTSC 231,001,312
1139,ACTSC 232,001,129
1139,ACTSC 331,001,107
1139,ACTSC 371,001,223
1139,ACTSC 372,001,193
1139,ACTSC 431,001,114
1139,ACTSC 432,001,101
1139,ACTSC 432,002,1
1139,ACTSC 445,001,87
1139,ACTSC 445,002,1
1139,ACTSC 446,001,98
1139,ACTSC 446,002,3
1139,ACTSC 446,003,1
1139,ACTSC 453,001,2
1139,ACTSC 463,001,27
1139,ACTSC 471,001,9
1139,ACTSC 471,002,10
1139,ACTSC 611,001,22
1139,ACTSC 612,001,22
1139,ACTSC 613,001,22
1139,ACTSC 614,001,22
1139,ACTSC 615,001,22
1139,ACTSC 831,001,8
1139,ACTSC 832,001,8
1139,ACTSC 845,001,5
1139,ACTSC 846,001,13
1139,ACTSC 863,001,15
1139,ACTSC 970,001,54
1139,ACTSC 972,001,13
1139,ACTSC 974,001,22
1139,ACTSC 992,001,2
1139,AMATH 231,001,29
1139,AMATH 250,001,145
1139,AMATH 251,001,20
1139,AMATH 271,001,25
1139,AMATH 310,001,10
1139,AMATH 331,001,51
1139,AMATH 350,001,121
1139,AMATH 351,001,63
1139,AMATH 442,001,18
1139,AMATH 453,001,19
1139,AMATH 456,001,56
1139,AMATH 463,001,23
1139,AMATH 473,001,16
1139,AMATH 495,001,0
1139,AMATH 495,002,2
1139,AMATH 663,001,5
1139,AMATH 673,001,0
1139,AMATH 731,001,15
1139,AMATH 732,001,15
1139,AMATH 740,001,6
1139,AMATH 751,001,6
1139,AMATH 871,001,4
1139,AMATH 875,001,4
1139,AMATH 900,001,1
1139,CS 3XX,001,1
1139,CS 3XX,002,0
1139,CS 4XX,001,0
1139,CS 4XX,002,1
1139,CS 4XX,003,1
1139,CS 4XX,004,1
1139,CS 44X,001,0
1139,CS 100,081,322
1139,CS 102W,099,1
1139,CS 115,001,247
1139,CS 115,002,344
1139,CS 115,003,56
1139,CS 115,004,38
1139,CS 115,005,336
1139,CS 116,001,226
1139,CS 135,001,83
1139,CS 135,002,96
1139,CS 135,003,96
1139,CS 135,004,97
1139,CS 135,005,88
1139,CS 135,006,91
1139,CS 135,007,87
1139,CS 136,001,93
1139,CS 136,002,94
1139,CS 137,001,152
1139,CS 145,001,68
1139,CS 200,001,31
1139,CS 230,001,98
1139,CS 234,001,80
1139,CS 234,002,1
1139,CS 240,001,73
1139,CS 240,002,63
1139,CS 241,001,70
1139,CS 241,002,68
1139,CS 241,003,124
1139,CS 245,001,77
1139,CS 245,002,73
1139,CS 245,003,76
1139,CS 245,004,86
1139,CS 245,005,75
1139,CS 246,001,79
1139,CS 246,002,80
1139,CS 246,003,83
1139,CS 246,004,80
1139,CS 246,005,79
1139,CS 251,001,80
1139,CS 251,002,75
1139,CS 330,001,101
1139,CS 330,002,121
1139,CS 335,001,84
1139,CS 338,001,111
1139,CS 341,001,91
1139,CS 341,002,90
1139,CS 341,003,72
1139,CS 343,001,60
1139,CS 343,002,89
1139,CS 343,003,60
1139,CS 348,001,87
1139,CS 348,002,65
1139,CS 348,003,92
1139,CS 348,004,1
1139,CS 349,001,58
1139,CS 349,002,57
1139,CS 350,001,89
1139,CS 350,002,62
1139,CS 350,003,88
1139,CS 360,001,55
1139,CS 370,001,79
1139,CS 370,002,75
1139,CS 399,001,0
1139,CS 430,001,53
1139,CS 432,001,54
1139,CS 442,001,1
1139,CS 445,001,46
1139,CS 447,001,1
1139,CS 456,001,61
1139,CS 456,002,54
1139,CS 456,003,1
1139,CS 457,001,1
1139,CS 458,001,77
1139,CS 458,002,77
1139,CS 466,001,52
1139,CS 485,001,1
1139,CS 485,002,1
1139,CS 486,001,77
1139,CS 486,002,1
1139,CS 488,001,29
1139,CS 488,002,1
1139,CS 490,001,2
1139,CS 499R,001,4
1139,CS 499R,002,1
1139,CS 645,001,5
1139,CS 656,001,8
1139,CS 656,002,6
1139,CS 658,001,2
1139,CS 658,002,1
1139,CS 666,001,10
1139,CS 686,001,12
1139,CS 688,001,2
1139,CS 697,001,29
1139,CS 745,001,10
1139,CS 755,001,16
1139,CS 758,001,22
1139,CS 766,001,9
1139,CS 768,001,3
1139,CS 770,001,6
1139,CS 792,001,0
1139,CS 792,081,6
1139,CS 842,001,8
1139,CS 846,001,3
1139,CS 848,001,21
1139,CS 848,002,7
1139,CS 854,001,14
